,Year,Sex,Party,Constituency_Name,Party_Type_TCPD,Turncoat,Incumbent,Result
0,2019,1,24,11,3,1,1,1
1,2019,1,16,11,3,1,1,0
2,2019,1,7,11,3,1,1,0
3,2019,2,52,11,2,0,0,0
4,2019,1,27,11,0,1,1,0
5,2019,1,11,11,5,1,1,0
6,2019,1,27,11,0,1,1,0
7,2019,1,27,11,0,1,1,0
8,2019,1,27,11,0,1,1,0
9,2019,1,27,11,0,1,1,0
10,2019,1,24,10,3,1,1,1
11,2019,0,16,10,3,1,2,0
12,2019,1,7,10,3,1,1,0
13,2019,1,66,10,1,1,1,0
14,2019,2,52,10,2,0,0,0
15,2019,1,27,10,0,1,1,0
16,2019,0,75,10,5,1,1,0
17,2019,1,27,10,0,1,1,0
18,2019,0,27,10,0,1,1,0
19,2019,1,27,10,0,1,1,0
20,2019,0,27,10,0,1,1,0
21,2019,1,27,10,0,1,1,0
22,2019,0,27,10,0,1,1,0
23,2019,1,65,10,1,1,1,0
24,2019,1,24,33,3,2,1,1
25,2019,1,16,33,3,1,1,0
26,2019,1,7,33,3,1,1,0
27,2019,1,66,33,1,1,1,0
28,2019,2,52,33,2,0,0,0
29,2019,1,48,33,1,1,1,0
30,2019,1,27,33,0,1,1,0
31,2019,1,27,33,0,1,1,0
32,2019,1,27,33,0,1,1,0
33,2019,1,27,33,0,1,1,0
34,2019,1,27,33,0,1,1,0
35,2019,1,15,33,1,1,1,0
36,2019,1,27,33,0,1,1,0
37,2019,1,24,34,3,1,2,1
38,2019,1,12,34,4,1,1,0
39,2019,1,6,34,1,1,1,0
40,2019,1,66,34,1,1,1,0
41,2019,1,27,34,0,1,1,0
42,2019,1,27,34,0,1,1,0
43,2019,1,11,34,5,1,1,0
44,2019,1,27,34,0,1,1,0
45,2019,1,27,34,0,1,1,0
46,2019,2,52,34,2,0,0,0
47,2019,1,27,34,0,1,1,0
48,2019,1,27,34,0,1,1,0
49,2019,0,15,34,1,1,1,0
50,2019,1,27,34,0,1,1,0
51,2019,1,27,34,0,1,1,0
52,2019,1,5,34,1,1,1,0
53,2019,1,27,34,0,1,1,0
54,2019,1,65,34,1,1,1,0
55,2019,1,27,34,0,1,1,0
56,2019,1,27,34,0,1,1,0
57,2019,1,81,34,1,1,1,0
58,2019,1,24,14,3,1,2,1
59,2019,1,16,14,3,1,1,0
60,2019,1,7,14,3,1,1,0
61,2019,2,52,14,2,0,0,0
62,2019,1,11,14,5,1,1,0
63,2019,1,27,14,0,1,1,0
64,2019,1,27,14,0,1,1,0
65,2019,1,75,14,5,1,1,0
66,2019,1,27,14,0,1,1,0
67,2019,1,27,14,0,1,1,0
68,2019,1,27,14,0,1,1,0
69,2019,0,27,14,0,1,1,0
70,2019,1,27,14,0,1,1,0
71,2019,1,27,14,0,1,1,0
72,2019,1,27,14,0,1,1,0
73,2019,1,30,15,4,1,2,1
74,2019,1,16,15,3,1,1,0
75,2019,1,7,15,3,1,1,0
76,2019,1,66,15,1,1,1,0
77,2019,2,52,15,2,0,0,0
78,2019,1,27,15,0,1,1,0
79,2019,1,11,15,5,1,1,0
80,2019,1,27,15,0,1,1,0
81,2019,1,27,15,0,1,1,0
82,2019,1,30,26,4,1,2,1
83,2019,1,27,26,0,1,1,0
84,2019,0,7,26,3,1,1,0
85,2019,1,66,26,1,1,1,0
86,2019,0,27,26,0,1,1,0
87,2019,2,52,26,2,0,0,0
88,2019,1,27,26,0,1,1,0
89,2019,1,27,26,0,1,1,0
90,2019,1,27,26,0,1,1,0
91,2019,1,27,26,0,1,1,0
92,2019,1,27,26,0,1,1,0
93,2019,1,27,26,0,1,1,0
94,2019,0,27,26,0,1,1,0
95,2019,1,24,22,3,1,1,1
96,2019,1,16,22,3,1,2,0
97,2019,1,7,22,3,1,1,0
98,2019,2,52,22,2,0,0,0
99,2019,1,66,22,1,1,1,0
100,2019,1,27,22,0,1,1,0
101,2019,1,11,22,5,1,1,0
102,2019,1,27,22,0,1,1,0
103,2019,1,27,22,0,1,1,0
104,2019,1,27,22,0,1,1,0
105,2019,0,24,2,3,1,1,1
106,2019,1,16,2,3,1,2,0
107,2019,1,6,2,1,1,1,0
108,2019,2,52,2,2,0,0,0
109,2019,1,11,2,5,1,1,0
110,2019,1,27,2,0,1,1,0
111,2019,1,27,2,0,1,1,0
112,2019,1,24,31,3,1,1,1
113,2019,1,12,31,4,1,1,0
114,2019,1,7,31,3,1,1,0
115,2019,2,52,31,2,0,0,0
116,2019,1,11,31,5,1,1,0
117,2019,1,15,31,1,1,1,0
118,2019,1,27,31,0,1,1,0
119,2019,1,27,31,0,1,1,0
120,2019,1,27,31,0,1,1,0
121,2019,1,24,6,3,1,1,1
122,2019,1,16,6,3,1,2,0
123,2019,1,7,6,3,1,1,0
124,2019,2,52,6,2,0,0,0
125,2019,1,66,6,1,1,1,0
126,2019,1,11,6,5,1,1,0
127,2019,1,54,6,4,1,1,0
128,2019,1,27,6,0,1,1,0
129,2019,1,27,6,0,1,1,0
130,2019,0,75,6,5,1,1,0
131,2019,1,44,6,1,1,1,0
132,2019,1,27,6,0,1,1,0
133,2019,1,27,6,0,1,1,0
134,2019,0,27,6,0,1,1,0
135,2019,1,24,8,3,1,1,1
136,2019,1,16,8,3,1,1,0
137,2019,1,7,8,3,1,1,0
138,2019,2,52,8,2,0,0,0
139,2019,1,66,8,1,1,1,0
140,2019,1,11,8,5,1,1,0
141,2019,1,70,8,1,1,1,0
142,2019,1,4,8,1,1,1,0
143,2019,0,27,8,0,1,1,0
144,2019,1,27,8,0,1,1,0
145,2019,1,27,8,0,1,1,0
146,2019,3,27,8,0,1,1,0
147,2019,1,15,8,1,1,1,0
148,2019,1,63,8,1,1,1,0
149,2019,1,24,9,3,1,1,1
150,2019,1,27,9,0,1,2,0
151,2019,1,6,9,1,1,1,0
152,2019,2,52,9,2,0,0,0
153,2019,1,11,9,5,1,1,0
154,2019,0,27,9,0,1,1,0
155,2019,1,79,9,1,1,1,0
156,2019,1,27,9,0,1,1,0
157,2019,1,27,9,0,1,1,0
158,2019,1,41,13,4,1,1,1
159,2019,1,16,13,3,1,1,0
